id,name,team,position,price,form,ppg,ownership,minutes_pct,ict_index,bonus,xgi_per90,fdr,fixture_ease,status,score
410,Lewis,MCI,DEF,4.6,0.0,1.9,1.2,0.12341269841269842,20.7,2,0.41,2,4,a,13.4
73,Smith,BOU,DEF,4.4,1.8,1.9,0.2,0.28849206349206347,13.3,0,0.01,3,3,a,13.4
724,Geertruida,SUN,DEF,4.5,1.6,1.8,0.0,0.46706349206349207,33.1,0,0.08,3,3,a,13.4
164,O'Riley,BHA,MID,5.5,0.2,4.3,0.3,0.07341269841269842,19.2,2,0.68,4,2,a,13.3
580,Johnson,CRY,MID,6.5,1.0,1.9,2.4,0.4226190476190476,53.4,2,0.22,3,3,a,13.3
605,Kilman,WHU,DEF,4.2,0.0,1.7,0.1,0.6186507936507937,50.9,0,0.04,3,3,a,13.2
53,Malen,AVL,MID,5.1,0.0,2.6,0.4,0.25396825396825395,56.3,3,0.62,3,3,u,13.2
637,Toti,WOL,DEF,4.2,1.3,2.0,0.1,0.4123015873015873,35.3,0,0.05,3,3,a,13.1
199,Worrall,BUR,DEF,3.8,1.8,1.8,0.2,0.16825396825396827,9.7,0,0.03,3,3,a,13.1
192,Hartman,BUR,DEF,4.0,0.0,3.1,0.6,0.5305555555555556,59.2,0,0.11,3,3,a,13.1
331,Cairney,FUL,MID,4.8,0.4,1.5,0.0,0.18055555555555555,21.4,1,0.23,2,4,a,13.0
294,Coleman,EVE,DEF,4.2,0.0,1.0,0.1,0.004365079365079365,0.0,0,0.0,1,5,a,13.0
718,S.Magassa,WHU,MID,5.0,1.0,2.2,0.0,0.35753968253968255,28.7,2,0.07,3,3,a,12.9
609,Todibo,WHU,DEF,4.3,0.0,1.7,0.1,0.6035714285714285,42.0,0,0.03,3,3,a,12.8
693,Hutchinson,NFO,MID,5.4,2.0,2.8,0.1,0.4357142857142857,89.5,3,0.38,5,1,a,12.6
209,Laurent,BUR,MID,4.8,1.0,1.9,0.0,0.5480158730158731,45.8,1,0.07,3,3,a,12.5
345,Bornauw,LEE,DEF,3.8,0.2,1.9,0.1,0.12063492063492064,9.4,0,0.0,2,4,a,12.5
644,Bellegarde,WOL,MID,5.1,1.3,1.6,0.0,0.3873015873015873,42.4,0,0.15,3,3,a,12.5
173,Wieffer,BHA,MID,4.9,0.4,3.5,0.1,0.4932539682539683,67.4,3,0.2,4,2,a,12.5
521,Sangaré,NFO,MID,4.9,2.0,3.4,0.1,0.5571428571428572,54.6,2,0.16,5,1,a,12.5
648,Munetsi,WOL,MID,5.3,0.0,2.9,0.0,0.346031746031746,42.1,1,0.21,3,3,u,12.4
507,Aina,NFO,DEF,4.7,2.2,3.3,2.3,0.38412698412698415,33.4,3,0.09,5,1,a,12.3
353,James,LEE,MID,5.2,0.4,1.2,0.1,0.14603174603174604,22.9,0,0.31,2,4,a,12.3
190,Ekdal,BUR,DEF,3.9,0.0,2.9,0.8,0.46785714285714286,39.5,2,0.04,3,3,a,12.2
351,Gnonto,LEE,MID,5.2,0.2,1.5,0.1,0.1373015873015873,17.7,0,0.21,2,4,a,12.2
816,Angel,WOL,MID,4.9,1.6,1.6,0.0,0.07063492063492063,8.4,0,0.07,3,3,a,12.1
813,Angulo,SUN,MID,5.0,1.5,1.5,0.0,0.06626984126984127,10.1,0,0.3,3,3,a,12.1
31,G.Jesus,ARS,FWD,6.4,1.0,1.5,0.5,0.12063492063492064,33.0,0,0.58,3,3,a,12.0
163,Hinshelwood,BHA,MID,5.1,1.4,2.7,0.0,0.3345238095238095,34.7,2,0.15,4,2,a,12.0
735,Traoré,SUN,MID,5.5,0.2,2.6,0.0,0.2492063492063492,35.9,1,0.11,3,3,a,11.9
685,Diakité,BOU,DEF,4.2,0.2,2.6,0.3,0.5059523809523809,34.4,2,0.01,3,3,a,11.8
202,Bruun Larsen,BUR,MID,5.3,1.0,1.6,0.0,0.3813492063492063,43.1,0,0.23,3,3,a,11.8
158,Georginio,BHA,MID,5.6,0.6,2.8,0.3,0.596031746031746,86.0,2,0.24,4,2,a,11.8
270,Hughes,CRY,MID,4.7,1.0,1.5,0.1,0.47619047619047616,52.3,0,0.2,3,3,a,11.8
400,Ortega Moreno,NFO,GK,4.7,2.2,3.7,0.2,0.10714285714285714,6.9,0,0.0,5,1,a,11.8
587,Bissouma,TOT,MID,5.2,1.2,1.8,0.0,0.13253968253968254,10.2,0,0.1,3,3,a,11.7
409,Stones,MCI,DEF,5.4,0.0,1.7,0.6,0.1392857142857143,9.8,0,0.02,2,4,a,11.5
87,Christie,BOU,MID,4.9,1.0,1.4,0.1,0.2007936507936508,37.5,0,0.33,3,3,a,11.4
98,Enes Ünal,BOU,FWD,5.4,1.0,1.3,0.0,0.06349206349206349,10.5,1,0.79,3,3,a,11.4
663,J.Arias,WOL,MID,4.9,0.2,2.0,0.1,0.44325396825396823,52.1,2,0.32,3,3,u,11.4
210,Tchaouna,BUR,MID,4.9,0.8,1.8,0.0,0.32142857142857145,28.8,0,0.17,3,3,a,11.3
362,Piroe,LEE,FWD,4.9,0.2,1.1,0.3,0.08174603174603175,11.5,0,0.31,2,4,a,11.2
135,Wissa,NEW,FWD,7.3,0.8,1.6,0.6,0.16706349206349205,21.4,0,0.52,3,3,a,11.2
55,Barkley,AVL,MID,4.8,0.8,1.7,0.0,0.08571428571428572,21.0,0,0.39,3,3,a,11.2
250,Delap,CHE,FWD,6.2,1.6,1.9,0.9,0.2849206349206349,38.9,1,0.48,4,2,a,11.2
739,Mukasa,MCI,MID,4.4,0.0,1.0,0.0,0.00992063492063492,3.7,0,0.76,2,4,u,11.0
543,Adingra,SUN,MID,4.9,0.0,2.4,0.4,0.2575396825396825,27.0,3,0.14,3,3,u,11.0
662,Mosquera,ARS,DEF,5.3,0.8,1.8,0.1,0.21904761904761905,17.3,1,0.08,3,3,a,10.9
500,Osula,NEW,FWD,5.4,1.0,1.5,0.2,0.10396825396825397,12.6,0,0.23,3,3,a,10.7
453,Garnacho,CHE,MID,6.4,0.4,2.6,0.5,0.3527777777777778,65.2,2,0.51,4,2,a,10.7
721,Milosavljević,BOU,DEF,4.4,0.0,2.7,0.0,0.14563492063492064,12.2,0,0.09,3,3,a,10.7
143,Boscagli,BHA,DEF,4.2,1.0,2.9,0.1,0.1384920634920635,15.3,2,0.07,4,2,a,10.7
630,King,EVE,GK,3.9,0.0,0.0,1.3,0.0,0.0,0,0.0,1,5,a,10.6
307,Ebere,EVE,MID,4.4,0.0,0.0,0.0,0.0,0.0,0,0.0,1,5,a,10.5
298,Welch,EVE,DEF,3.8,0.0,0.0,0.1,0.0,0.0,0,0.0,1,5,a,10.5
308,Heath,EVE,MID,4.5,0.0,0.0,0.0,0.0,0.0,0,0.0,1,5,u,10.5
705,Campbell,EVE,DEF,3.9,0.0,0.0,0.2,0.0,0.0,0,0.0,1,5,u,10.5
704,Onyango,EVE,MID,4.5,0.0,0.0,0.0,0.0,0.0,0,0.0,1,5,u,10.5
289,Tyrer,EVE,GK,3.9,0.0,0.0,0.1,0.0,0.0,0,0.0,1,5,u,10.5
313,Sherif,EVE,FWD,4.4,0.0,0.0,0.1,0.0,0.0,0,0.0,1,5,u,10.5
306,Bates,EVE,MID,4.3,0.0,0.0,0.1,0.0,0.0,0,0.0,1,5,a,10.5
309,Metcalfe,EVE,MID,4.5,0.0,0.0,0.0,0.0,0.0,0,0.0,1,5,u,10.5
297,Dixon,EVE,DEF,3.8,0.0,0.0,0.2,0.0,0.0,0,0.0,1,5,u,10.5
